path,total_conversions,total_conversion_value,total_null
alpha > alpha > alpha > zeta > theta,1,4.5,3
iota > iota > beta > iota > iota > iota > iota > iota > theta > theta > theta > theta,0,0.0,3
eta > eta,1,3.56,3
theta > beta > alpha > epsilon,1,5.596,2
beta > eta > beta > beta > beta > eta > beta > epsilon,1,1.1,2
beta > beta > beta > beta > beta > eta,1,7.593999999999999,3
eta,8,7.017777777777781,30
eta > eta > theta > alpha,1,3.465,3
theta > alpha > iota > iota > iota > iota,2,9.686,5
iota > beta > alpha > eta,1,5.492000000000001,2
beta > eta > alpha,1,5.55,2
alpha > beta > beta > beta > alpha > beta > theta > theta > iota > theta > theta > beta > theta > beta > beta > eta > theta > theta > beta > theta > theta > theta,1,3.971,2
iota > alpha > alpha > epsilon,2,11.34,5
iota > iota,1,1.355,3
alpha > alpha > alpha > alpha > iota > epsilon > zeta > alpha > alpha,1,1.49,3
eta > eta > iota > iota > iota > iota > eta > eta,1,7.77,3
iota > iota > alpha > iota > iota > iota > iota > iota > iota,2,2.96,5
iota > alpha > iota > iota > iota > iota > theta > iota > theta > iota > lambda > epsilon,1,2.465,2
eta > beta > eta > beta > eta,1,3.325,2
eta,1,5.1610000000000005,3
eta > eta > alpha > eta > eta > alpha,0,0.0,2
beta > beta > beta > alpha,1,2.54,3
iota > eta,3,15.55,9
beta > eta > eta,1,11.9,3
beta > beta > beta > beta > beta > eta,1,3.3680000000000003,2
gamma > iota,1,1.7169999999999999,3
eta > theta > alpha > alpha > theta,1,3.7,3
beta > epsilon > theta > epsilon,1,5.292999999999999,3
beta > eta,7,27.839000000000002,28
eta > epsilon,1,2.52,2
beta > eta > beta > eta > eta > alpha,1,6.087999999999999,3
beta > theta > beta > beta > eta > alpha > beta > beta,1,2.235,2
beta > kappa > kappa > kappa > kappa > beta,0,0.0,3
theta > beta > eta > beta > gamma,1,2.417,2
iota > iota > iota > iota > iota > iota > alpha > iota > alpha > iota > alpha > alpha,1,2.35,6
lambda > theta > lambda > lambda > theta > lambda > lambda > theta > alpha > theta > alpha > lambda > theta > lambda,1,7.476,3
beta,1,2.9,2
beta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,4.77,2
eta > eta,1,3.693,3
iota > iota > alpha,0,0.0,2
iota > iota > iota > iota > iota > eta,0,0.0,3
iota > iota > iota > iota > iota > iota,1,2.6,2
eta > beta,1,8.0,3
iota > eta > eta > eta > alpha,1,2.678,3
theta > theta > eta > theta > beta > theta > eta > beta > iota > theta > beta > beta > alpha,1,0.7,2
eta > alpha > alpha > iota > iota > eta > alpha > alpha,1,1.88,2
beta > beta,1,11.3,3
eta > iota > eta,0,0.0,3
iota > eta,1,3.1260000000000003,3
eta > iota > iota > iota > iota > iota > iota > iota > lambda > lambda > iota > epsilon > alpha,1,7.983,3
gamma > theta,2,15.341,5
lambda > theta > theta > beta > theta,1,3.41,5
beta > eta,5,13.582,14
iota > lambda > lambda > lambda,1,4.1,2
beta > beta > beta > beta > beta > eta > beta,1,5.63,2
eta > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda,0,0.0,3
eta > epsilon > eta > iota > beta > lambda,1,2.945,3
lambda > theta > lambda,1,3.8,3
iota > iota > beta,1,3.355,3
iota > iota > iota,1,7.636,3
iota > eta,1,4.237,3
iota > eta,1,2.17,3
iota > iota > iota > alpha > alpha,1,1.8019999999999998,3
iota > eta > iota > eta > iota > beta > iota > eta > iota,1,2.687,3
iota > kappa,1,2.119,2
gamma > epsilon,1,3.565,2
iota > iota > iota > iota,1,3.486,2
lambda > iota > iota > iota > theta > theta > iota > lambda,1,1.16,3
iota > iota > iota,1,6.167000000000001,3
epsilon > iota > iota > epsilon,1,2.155,3
beta > beta > beta > eta > beta > beta > eta > beta > alpha > eta,0,0.0,2
beta > beta > lambda,1,5.209,3
beta > beta > beta > iota > iota > iota > epsilon,1,5.88,3
iota > iota > iota > iota > iota,2,8.074,5
eta > iota,1,1.483,2
beta > zeta > beta > eta > beta > eta > beta > eta > beta > eta > beta > eta > beta > epsilon > alpha,1,14.94,2
iota > beta > eta > beta > iota > iota > iota > iota,0,0.0,2
gamma,7,21.15575,22
beta > eta,1,7.034,2
iota > zeta > theta > alpha > alpha > alpha > iota > iota > alpha > epsilon,1,6.17,3
eta,0,0.0,3
alpha > alpha > alpha > alpha > alpha > epsilon > alpha > alpha > alpha > alpha > alpha > iota > alpha > alpha > lambda > iota > epsilon > alpha > alpha > alpha > alpha > alpha > alpha > alpha > theta > alpha,1,3.062,2
eta,1,3.094,3
theta > eta > iota > alpha,1,4.55,3
theta > beta > eta > eta,0,0.0,2
eta,3,75.3885,11
beta > beta > beta > iota > iota > beta > theta > alpha > beta > iota > beta > theta > iota > iota > beta > theta > beta > theta > iota > beta > theta > iota > iota > iota > theta > kappa > iota > iota > iota > iota > kappa > beta > iota > theta > iota > kappa > kappa > kappa,0,0.0,2
theta > alpha > theta > beta > alpha > alpha > alpha > theta > alpha > beta > alpha > theta,1,18.046,3
eta > epsilon,1,2.021,3
theta > theta > beta > theta > alpha > theta > theta > alpha > theta > beta > beta > beta > theta > eta > alpha > beta > theta > alpha > alpha > beta > eta > eta > eta > eta > eta > eta > theta > beta > theta > theta > eta > theta > beta > eta,1,4.274,2
kappa > beta,1,1.82,3
eta > eta > beta > eta > iota,1,1.86,2
eta > eta > eta,1,6.85,3
iota > eta,1,4.49,2
iota > iota > iota > iota > alpha,1,7.032,3
eta > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > epsilon > iota > iota > iota > iota > zeta > eta > epsilon > zeta > iota > eta > iota > epsilon > zeta > iota > epsilon > iota > iota > iota > iota,1,2.117,3
lambda > lambda > alpha > alpha > lambda > epsilon,2,10.152999999999999,5
beta > beta > eta,1,8.716000000000001,2
iota > iota > beta > eta > iota,1,2.571,3
theta > alpha > lambda > theta > iota > eta,1,8.639,3
beta > alpha > alpha > alpha > eta > alpha,1,3.0,2
alpha > alpha > iota > iota > iota,1,1.34,2
eta > iota,1,2.283,2
iota > iota > iota > alpha,1,1.4,2
eta,1,5.648,3
eta > iota > alpha > theta > iota,1,3.4,3
beta,1,3.142,3
theta > iota > theta > alpha > alpha > alpha,1,4.14,2
beta > beta > theta > beta > kappa,1,6.6,3
theta > eta > epsilon,0,0.0,3
epsilon > epsilon > epsilon > epsilon > epsilon,1,2.468,2
alpha > alpha > iota > alpha > alpha > alpha > alpha,0,0.0,2
beta > beta > eta > epsilon,1,3.7939999999999996,2
iota > beta > theta > alpha > alpha > alpha,1,2.7110000000000003,3
iota > beta > iota > iota > iota > iota > beta,1,0.414,2
eta > alpha > lambda > eta,1,9.334,2
iota > alpha > alpha > iota > alpha > iota > alpha,1,2.73,2
beta > beta > iota > theta > iota > iota > beta > iota > iota > iota > iota > iota > beta > eta > iota > eta > lambda > iota > beta > alpha > beta > eta > eta > lambda,0,0.0,3
beta > eta > alpha > alpha > alpha > lambda > theta > eta > alpha > eta,1,5.24,3
beta > beta > beta > beta > iota > epsilon > theta > beta > eta,1,10.794,2
beta > eta > beta,1,3.9,3
eta,0,0.0,3
iota > zeta > iota > lambda,1,2.022,2
iota > iota > theta > iota > epsilon > lambda > eta > iota > iota > alpha > lambda,1,1.95,2
eta > theta > alpha,1,3.9,2
iota > beta > iota > iota > iota > iota > alpha,1,10.241,3
eta > eta > eta > eta > iota > iota > theta > eta > eta > theta > iota > eta > eta > eta > eta > zeta > eta > eta > eta > eta > eta > eta > eta > eta > eta > eta,1,0.552,2
beta > beta > beta > beta > beta > beta > eta > iota > iota > iota,1,15.84,3
eta,1,1.6269999999999998,2
iota > iota > iota > iota,1,1.725,3
eta > epsilon > theta,0,0.0,3
iota > alpha > iota > alpha > alpha > alpha > alpha,7,34.2993,25
beta > iota > theta > iota > iota > iota > iota > theta > iota > theta > theta > theta > iota > theta > iota > theta > iota > theta,0,0.0,2
eta > eta > alpha,0,0.0,2
beta > beta > eta > alpha,1,2.8360000000000003,2
iota > beta > eta > iota > iota,1,3.56,2
iota > iota > lambda,1,2.275,2
theta > gamma > gamma > gamma,1,1.857,2
eta > alpha,0,0.0,3
theta > epsilon > theta > eta > alpha > epsilon > alpha,1,2.14,3
iota > iota > iota > iota > iota > iota > iota > alpha > iota > alpha > iota > iota > iota > kappa > kappa > lambda > iota > iota > alpha > iota > iota > iota > iota > kappa,1,6.061,2
beta > beta > iota,1,7.247000000000001,2
lambda > lambda > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > iota > alpha > eta,1,3.11,2
eta,1,6.599,2
eta > eta,0,0.0,2
eta > eta > eta > eta > eta > eta,1,3.86,3
iota > iota > iota > iota > iota > alpha > iota > alpha > alpha,4,16.74,13
kappa > eta > beta > eta > kappa > eta,1,2.512,3
eta > kappa > kappa,1,3.2,2
beta > beta > beta > beta > beta > beta > alpha,1,13.4,2
eta,2,4.103,6
eta > iota > iota > alpha,1,2.427,2
gamma > alpha > alpha,1,2.15,2
iota > iota > iota > iota > iota,1,1.7719999999999998,2
lambda > beta > iota > lambda > lambda > lambda > lambda > alpha > alpha,0,0.0,2
beta > eta,1,7.812,2
eta > eta,1,2.36,2
iota > iota > iota > zeta,1,4.55,5
theta > eta,1,1.574,2
eta,2,6.41,6
beta > beta > eta > beta > beta > beta > beta > beta > eta > beta > beta > eta,1,4.838,3
beta > beta > alpha > beta > eta,1,6.524,2
eta > eta,1,2.362,2
iota > eta,1,2.5789999999999997,3
alpha > alpha > theta > theta > theta > theta > alpha > alpha > alpha > alpha > eta > theta > theta > theta,1,2.593,2
iota > zeta,1,2.35,3
beta > beta > beta > beta > beta > iota > beta > iota > alpha,1,3.3310000000000004,2
beta > eta > beta > beta > eta > alpha > beta > eta,1,3.093,2
eta > epsilon,0,0.0,2
beta > eta > beta > eta,1,2.86,2
theta > eta > epsilon,0,0.0,2
eta > lambda > beta,1,3.536,2
beta > iota > iota > iota > iota > alpha > iota,1,3.1,2
beta,1,2.124,3
beta > beta > beta > alpha > beta > beta > beta > beta > beta > beta > beta > iota > iota > beta > beta > eta > epsilon,1,5.452999999999999,3
iota > alpha > lambda > alpha > alpha > alpha > theta > alpha,1,2.68,3
iota > beta > theta > iota > iota > epsilon,1,1.2,3
iota > iota > iota > iota > iota > iota > iota > iota > theta > alpha > iota > theta > zeta > alpha > theta,1,2.8,2
eta,1,1.7,2
eta > alpha > eta,1,2.0,3
eta,0,0.0,3
theta > beta > beta > alpha > beta > beta > beta > eta > iota > iota,0,0.0,3
iota > zeta,1,4.423,2
eta > alpha > alpha > eta > alpha,1,5.16,2
theta > theta > kappa > theta > theta > eta,1,6.284,2
eta > eta > eta > eta > eta > eta,1,2.124,3
beta > beta > alpha,1,3.35,2
theta > alpha > eta > alpha,1,0.43700000000000006,2
beta > alpha > eta > beta,1,3.5010000000000003,3
alpha > eta,1,2.315,2
theta > beta > iota > theta,1,4.43,3
iota > iota > alpha > alpha > alpha > alpha > alpha > zeta > alpha > alpha,1,5.026,3
beta > alpha > lambda > alpha > lambda > beta > eta > lambda > alpha,1,3.3080000000000003,3
eta,1,0.29,2
eta,3,13.85325,11
beta > beta > eta,1,2.56,3
iota > iota > iota > iota > iota > iota > iota > iota > beta > eta > eta,1,3.275,3
eta > iota > iota > alpha > iota > alpha > eta > beta > beta > iota > iota > iota > beta > beta > beta > beta > beta > beta > beta > beta > iota > beta > eta > eta,1,4.801,2
eta > alpha > epsilon > eta > alpha,1,2.285,2
iota > kappa > kappa > gamma > eta > gamma > iota > kappa,0,0.0,2
iota > theta > lambda > alpha > eta,1,9.585,3
eta > iota > iota > eta > iota > zeta > iota > eta > iota > iota > iota > eta > iota > iota > iota > iota > eta > iota > iota > zeta > eta > iota > iota > eta > eta > eta > iota > alpha > alpha > eta > eta,1,2.275,6
iota > iota > iota > lambda,0,0.0,3
epsilon > alpha > lambda,2,1.429,5
iota > beta > beta > beta > iota,0,0.0,3
iota > iota > iota > iota > iota > alpha > iota > iota,1,1.85,3
iota > beta > iota,1,3.748,3
iota > iota > iota > iota,1,8.638,2
beta > eta > beta > eta > eta,1,1.751,2
theta > eta > alpha > iota > alpha > iota > lambda > alpha > lambda > gamma > beta > lambda > beta > alpha > alpha,1,3.12,3
theta > iota > alpha > epsilon,1,4.092,2
theta > eta > eta,1,3.54,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > alpha > iota > iota > iota > iota > alpha > iota > iota,1,2.5,3
gamma > alpha > alpha,2,7.706,5
eta > iota > alpha > theta > eta,1,3.25,2
iota > zeta > iota > iota,0,0.0,2
epsilon > beta > beta > beta > epsilon,1,7.752000000000001,2
iota > beta > beta,1,6.796,3
kappa > iota > iota,1,4.408,2
iota > theta > iota > iota,1,1.725,2
iota > iota > iota > iota > iota > iota > iota > iota > iota > zeta > alpha,1,6.5,3
beta > eta > beta > eta,0,0.0,3
beta > alpha > eta,1,2.85,2
iota > alpha > theta > lambda,1,4.5680000000000005,2
eta > alpha > epsilon > alpha,1,1.004,2
iota > lambda > alpha > lambda,1,4.532,2
beta > beta > beta > zeta > beta > beta > beta > beta > beta > beta > eta > beta > beta > beta > eta > eta > epsilon > beta > epsilon,1,15.200999999999999,3
beta > lambda > alpha > lambda,2,6.942,6
eta > lambda > lambda > alpha > epsilon > lambda > alpha > lambda,1,1.3,3
iota > beta > beta > eta > beta > lambda > alpha > alpha > iota,1,12.690999999999999,3
iota > iota > iota > iota > iota,1,3.6,2
beta > theta > eta > iota > iota > alpha,1,7.212000000000001,3
iota > iota > theta > eta > eta,1,0.868,2
iota > eta > eta > iota > iota > iota > alpha > beta > alpha > alpha > alpha > iota > iota > alpha,0,0.0,2
eta,16,28.0816,55
iota > iota > eta > alpha > alpha > eta,0,0.0,2
alpha > alpha > gamma > alpha > epsilon > epsilon > zeta > zeta > alpha > zeta > alpha,1,1.74,3
epsilon > beta,1,2.8930000000000002,3
beta > theta > beta > beta > beta > beta > alpha > theta > beta > eta > beta > epsilon > beta > theta > epsilon,1,2.75,3
iota > iota > beta > eta,1,2.9789999999999996,3
theta > beta > theta > beta > theta,0,0.0,3
eta > beta > eta > eta,1,11.692,2
beta > eta > beta > alpha > beta > eta > theta > beta,1,10.28,3
gamma > gamma,1,2.05,2
beta > beta > beta > alpha > alpha > theta,1,4.2,3
iota > iota > iota,1,3.34,3
eta > alpha,1,3.995,3
lambda > iota > lambda > lambda,1,2.6765,5
zeta > iota > zeta > alpha,1,3.9730000000000003,3
eta,2,2.394,5
eta > eta,1,1.588,2
iota > iota > iota > theta > iota > lambda,0,0.0,3
kappa > alpha > alpha > alpha,1,4.015,3
beta > beta,1,11.085,2
kappa > alpha > kappa,1,8.716000000000001,3
eta > iota,1,2.3890000000000002,3
beta > eta,1,0.46799999999999997,2
eta,1,0.91,3
iota > iota > iota > beta > beta > beta > beta,1,5.622000000000001,3
iota > iota > iota > iota > iota > eta > iota > iota > beta > zeta > theta > beta > iota > iota > iota > iota > iota,1,2.265,3
iota > beta > alpha > iota,0,0.0,3
beta > beta > beta > beta > beta > alpha > eta > lambda,1,2.165,3
eta > alpha > eta,1,3.45,2
iota > iota > epsilon > epsilon > iota > iota,1,1.9,2
beta > iota,0,0.0,2
iota > iota > iota > lambda,1,3.9,2
iota > iota > beta > iota > eta > iota > beta,1,0.7170000000000001,2
beta > iota > iota,0,0.0,2
eta > eta,2,5.20933333333333,7
beta > iota > beta > beta > beta > iota > beta > eta,1,7.994,3
alpha > alpha > alpha > alpha > iota > zeta > zeta > alpha > alpha > alpha > alpha > zeta > alpha > alpha > alpha,1,2.867,2
beta > eta > iota,0,0.0,3
eta > eta,2,6.3,5
eta > eta,1,3.458,3
iota > iota > iota > iota > iota > eta > alpha > epsilon > iota > eta > alpha,1,1.9709999999999999,2
iota > iota > epsilon > lambda > lambda > iota,0,0.0,3
iota > theta > alpha > beta,0,0.0,2
theta > alpha > theta > alpha > theta > eta > eta > alpha > theta,0,0.0,2
iota > iota > alpha > epsilon > epsilon,2,4.8180000000000005,5
beta > beta > beta > beta > iota > beta > eta,1,1.24,2
eta > eta > eta > eta,1,8.302,3
iota > theta > iota > eta > iota,0,0.0,3
eta > lambda > iota > lambda > lambda > lambda > eta,0,0.0,2
theta > alpha > lambda > alpha > lambda > alpha > lambda > lambda > alpha > lambda > lambda > lambda > lambda,1,2.32,3
beta > beta > beta > alpha > eta > beta > eta > beta > eta,1,2.71,3
eta > kappa > theta > beta > alpha,1,1.28,2
iota > eta > eta,1,7.2,3
beta > eta > lambda > beta > eta,1,9.454,2
theta > alpha > alpha > zeta > lambda,1,5.51,2
eta > alpha,1,2.416,6
iota > alpha > iota > beta > iota,1,2.6630000000000003,2
iota > iota > zeta > theta,1,6.446000000000001,3
eta > beta > iota > iota,1,3.8280000000000003,2
eta > eta,3,7.312,7
iota > zeta > eta,0,0.0,3
eta,1,17.289,2
beta > alpha > theta,0,0.0,2
beta > iota > alpha > alpha,0,0.0,3
beta > alpha > eta,1,3.443,2
beta > eta,1,3.9360000000000004,3
iota > eta > epsilon,1,2.3,3
iota > eta > epsilon,1,1.5,3
beta,1,3.1,2
eta > gamma > iota > iota > iota > iota > iota > eta > eta > zeta > eta,0,0.0,3
iota > zeta > zeta > eta > beta > eta,1,2.3569999999999998,2
eta > iota > theta > epsilon > alpha > alpha > alpha > alpha,1,4.4639999999999995,3
alpha > beta > epsilon > beta > epsilon,0,0.0,3
eta > eta > eta,1,8.324,3
eta,1,5.796,3
iota > iota > zeta > lambda > zeta > iota > iota > beta > beta > beta > iota > iota > beta > eta > alpha,1,3.555,2
iota > eta > iota > beta,1,2.248,3
iota > iota > iota > beta > iota > iota > iota > alpha > iota,1,3.01,2
eta,1,3.0839999999999996,3
alpha > theta > alpha > alpha > alpha > iota > alpha > iota > alpha > alpha > theta > alpha > kappa > theta > kappa > theta,1,13.125,2
beta > beta > beta > eta > kappa,1,2.331,2
iota > iota > theta > epsilon > epsilon > iota,1,5.846,2
iota > alpha > beta > iota,1,1.271,3
beta > theta > beta > theta > theta > theta > epsilon,1,4.015,2
beta > beta > eta,1,6.81,2
iota > beta > iota,1,5.636,3
iota > iota > iota > beta > beta > eta > alpha > theta,1,9.916,2
iota > iota > eta > beta > lambda > epsilon,1,2.64,3
iota > iota > kappa,1,2.424,2
iota > lambda > lambda > lambda > lambda > alpha,1,8.884,2
eta,3,10.548,10
beta > eta > beta,0,0.0,3
iota > epsilon > iota > iota > iota > iota > alpha,3,5.513,8
alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > iota > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > gamma > alpha > alpha > alpha,1,2.6489999999999996,2
iota > iota > iota > lambda,2,13.767333333333301,8
theta > alpha > beta > iota > beta > eta > beta > alpha > beta > eta > eta,2,3.9339999999999997,6
lambda > zeta > lambda > lambda,0,0.0,3
iota > iota > lambda,1,29.396,2
beta > iota > iota,1,1.47,3
iota > iota > beta > iota > iota,1,7.9,2
beta > iota,1,2.436,2
eta,2,6.697,6
iota > iota > iota > iota > iota > theta > iota > iota > alpha > iota > iota > iota,1,7.53,2
iota > iota > iota > iota > alpha > alpha,0,0.0,2
theta > iota > beta > iota > iota,0,0.0,2
iota > beta > beta > beta > eta > eta > eta > eta > beta > eta > beta > eta > eta,1,2.89,3
eta > gamma > iota,1,2.597,3
beta > theta > alpha > theta > theta > theta,1,3.47,2
beta > beta > theta,0,0.0,3
iota > iota > eta > lambda > eta,0,0.0,2
eta > theta > beta > eta > beta > theta > eta > theta > beta > theta > eta,2,6.648,5
iota > theta > iota > iota,1,2.44,3
beta > beta > beta,1,7.0329999999999995,3
eta,1,0.695,2
kappa > lambda > lambda > kappa > eta,1,3.552,2
iota > iota > zeta > alpha > lambda,1,4.672,2
theta > beta > lambda > beta > eta > zeta > beta > epsilon > beta > alpha > epsilon > beta,1,0.649,3
beta > beta,1,2.75,3
iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > alpha > alpha > iota > alpha > alpha > alpha > alpha > alpha > beta > beta > eta > iota > alpha > alpha > iota > alpha > beta > beta > beta > beta > beta > iota > alpha > iota > alpha > eta > beta > iota > alpha > alpha > alpha > alpha > epsilon > iota > alpha > alpha > alpha > alpha > alpha > alpha > alpha > iota > iota > alpha > alpha > eta > iota > alpha > alpha > epsilon > iota > iota,1,6.732,3
iota > iota > eta > eta,1,2.451,3
eta > lambda > iota > epsilon > theta,1,1.16,2
eta,1,3.32,3
beta > beta > lambda > beta,1,7.48,2
eta,1,0.529,3
iota > beta > iota,0,0.0,3
beta > beta > alpha > alpha > alpha > beta > alpha > alpha > beta > alpha > alpha > beta > alpha > kappa > kappa > kappa > kappa > theta > kappa > alpha,0,0.0,3
iota > iota > iota > iota > beta > beta > iota > beta > beta > beta > eta > beta > beta > eta,1,3.145,2
beta > eta > epsilon > beta > eta,1,4.55,3
eta > eta,1,2.3930000000000002,3
theta > beta > eta > epsilon > iota,1,2.408,3
eta > eta,2,12.095999999999998,6
theta > beta > iota > beta > iota > eta,1,9.0,2
iota > lambda > lambda > lambda > iota > lambda > lambda > iota > iota,1,3.06,3
eta,1,1.742,3
theta > beta > eta,0,0.0,3
theta > iota > theta > alpha > iota > iota > alpha,1,2.775,2
eta,1,3.562,3
beta > eta > iota > theta > beta > theta,1,2.325,2
kappa > alpha > alpha > beta > alpha > alpha,1,4.2,3
eta > alpha > alpha,1,3.511,2
eta,0,0.0,2
lambda > alpha > alpha > alpha > iota,2,12.494000000000002,5
gamma > alpha > gamma > epsilon > gamma > alpha,1,2.0,3
gamma > gamma > iota > iota > kappa,1,1.6880000000000002,2
iota > theta > eta > zeta > alpha > eta > iota > iota > iota,1,2.824,2
kappa > eta > eta,1,3.234,3
iota > iota > eta > alpha,1,2.306,2
beta > eta,0,0.0,2
gamma,6,30.9366666666667,30
beta > eta > beta > eta,2,3.918,5
iota > iota > beta,1,0.83,2
iota > gamma > gamma,1,2.912,3
iota > alpha > gamma > iota,1,2.55,2
theta > epsilon > theta > theta > iota > theta,1,2.2,3
eta,6,27.06,15
alpha > beta > beta,1,14.437000000000001,2
iota > iota > iota > zeta > iota > iota > theta > iota > beta > iota > iota > iota > iota > iota,0,0.0,3
theta > eta,1,1.37,3
theta > eta,1,6.1845,6
alpha > zeta > theta > alpha > alpha > zeta > alpha,1,2.492,3
eta > alpha > eta,3,7.635,9
beta > eta > iota,1,1.555,2
beta > eta,2,6.138999999999999,6
iota > iota > iota > iota > kappa,1,3.676,3
iota > iota > iota > iota > iota,1,3.1,3
eta > theta > eta,1,1.44,2
iota > iota > beta > lambda > beta > iota > iota > iota > beta > iota > beta > beta,1,2.19,2
iota > kappa,1,2.64,6
lambda > lambda > alpha > alpha > lambda,1,1.8,2
beta > beta > beta > eta > beta > eta > theta,0,0.0,3
beta > beta > beta,1,3.0439999999999996,2
theta > beta > alpha,0,0.0,3
iota > beta > beta > eta,1,2.804,2
eta > iota > alpha > alpha > alpha > iota > iota > theta > alpha > alpha > iota > iota > alpha > alpha > iota > iota > iota > iota,1,5.3420000000000005,3
beta > beta > beta > alpha,1,3.6,3
iota > iota > eta > iota > alpha,1,2.6189999999999998,2
epsilon > lambda,1,7.932,2
iota > iota > iota > iota > iota > iota > theta > iota,1,3.971,3
eta,1,6.19233333333333,10
iota > iota > eta > alpha > beta > beta,1,2.332,3
beta > beta,0,0.0,2
beta > beta > lambda > lambda > theta > eta > lambda > eta > beta > alpha > lambda > lambda > lambda,0,0.0,3
eta,3,30.31875,12
iota > eta > kappa > eta,1,2.32,2
eta > eta,1,5.4,2
eta > beta > eta > alpha,1,8.915,2
beta > iota > beta > iota > lambda > kappa > eta > eta > iota > epsilon > lambda > lambda > theta > epsilon > iota > beta > beta > beta > epsilon > beta > beta > beta > beta > beta > beta > lambda > zeta > epsilon,0,0.0,2
beta > iota,0,0.0,3
beta > beta > beta,1,1.0390000000000001,3
alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,25,50.9355881944444,108
eta > eta > eta > eta,1,0.715,2
beta > beta,1,2.926,2
eta > alpha > eta,2,11.692,5
iota > eta,1,4.1739999999999995,2
theta > alpha > theta > eta > eta > theta > alpha > theta > epsilon > theta > epsilon > alpha,0,0.0,3
iota > beta > alpha,1,5.885,3
iota > beta > theta,0,0.0,2
iota > iota,1,4.5,3
iota > eta > eta,0,0.0,3
theta > iota > theta > eta > theta > iota > iota,1,3.937,3
eta > eta > eta > alpha > alpha,1,3.665,3
iota > alpha > iota > theta > eta > alpha > eta > iota > eta > eta > eta > epsilon > alpha > eta > eta,1,4.3839999999999995,3
eta > iota > iota,0,0.0,2
